match_id,match_date,is_goal,distance_to_goal,angle_to_goal,dist_squared,dist_angle,is_in_area,is_central,is_big_chance,is_header,is_penalty,is_volley,first_touch,is_set_piece,from_corner,is_counter,is_right_foot,is_left_foot,shot_quality_index,defensive_pressure,buildup_passes,buildup_unique_players,buildup_decentralized,ppda,pass_decentralization,zone_close_central,zone_close_nan,zone_close_offset,zone_far_central,zone_far_nan,zone_far_offset,zone_far_wide,zone_mid_central,zone_mid_nan,zone_mid_offset,zone_mid_wide,zone_nan_wide
187,01/01/2026,False,33.78816360798557,5.264921288465561,1141.6400000000003,177.89202187784053,False,False,0,0,0,0,1,0,0,1,1,0,0.03105918196007216,0,1,3,0,25.307692307692307,12.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,19.465353837010003,4.186797515193394,378.90000000000003,81.49749507715367,True,False,1,1,0,0,1,0,1,0,0,0,0.7026732308149499,0,3,7,1,25.307692307692307,12.0,False,False,False,False,False,False,False,False,False,False,True,False
187,01/01/2026,False,28.060114041108246,4.4696630554991685,787.3700000000001,125.419255062635,False,False,0,0,0,1,1,0,1,0,1,0,0.059699429794458775,0,4,7,1,25.307692307692307,12.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,18.531055015837605,4.603879234909184,343.4000000000001,85.31473938837442,True,False,0,1,0,0,1,0,0,0,0,0,0.357344724920812,0,18,7,1,9.052631578947368,15.0,False,False,False,False,False,False,False,False,False,True,False,False
187,01/01/2026,False,35.82638692360702,4.611693245532234,1283.53,165.22030658742284,False,False,0,0,0,0,0,0,0,0,1,0,0.02086806538196491,0,17,9,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,21.81948670340345,4.90495347516905,476.0899999999999,107.02356713226362,False,True,0,0,0,0,1,0,0,0,1,0,0.2909025664829828,0,13,10,1,9.052631578947368,15.0,False,False,False,False,False,False,False,False,False,True,False,False
187,01/01/2026,True,29.689223634174063,4.883161000029115,881.4499999999997,144.97725897154146,False,False,0,0,0,0,0,0,0,0,0,1,0.05155388182912968,0,14,9,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,24.373140954747704,4.892572900487933,594.0499999999998,119.24736893497119,False,False,0,0,0,1,1,0,0,0,1,0,0.07813429522626147,0,17,8,1,9.052631578947368,15.0,False,False,False,False,False,False,True,False,False,False,False,False
187,01/01/2026,False,18.001388835309342,4.608056552595041,324.04999999999984,82.95141777835843,True,True,1,0,0,0,1,0,0,0,0,1,0.9099930558234534,0,16,8,1,9.052631578947368,15.0,False,False,False,False,False,False,False,False,False,True,False,False
187,01/01/2026,False,18.603763060198332,4.399047414481097,346.1,81.83883578958441,True,False,1,0,0,1,1,0,1,0,1,0,0.7069811846990084,0,1,3,0,9.052631578947368,15.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,False,37.869512803837345,4.040035087541971,1434.1000000000006,152.99416047562278,False,False,0,0,0,0,0,0,0,0,1,0,0.01065243598081327,0,8,8,1,9.095238095238097,14.0,False,False,False,False,True,False,False,False,False,False,False,False
239,01/02/2026,True,20.803845798313347,4.977812658908926,432.7999999999999,103.55764696883344,False,True,0,0,0,0,0,0,0,1,1,0,0.2959807710084333,0,2,3,0,9.095238095238097,14.0,False,False,False,False,False,False,False,True,False,False,False,False
239,01/02/2026,False,33.28438072129329,4.51895543587265,1107.8500000000004,150.41063319014313,False,False,0,0,0,1,1,0,0,0,0,1,0.033578096393533555,0,2,2,0,9.095238095238097,14.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,45.54667935206693,4.382257151618142,2074.5,199.5972613230537,False,False,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,19.94736842105263,15.0,False,False,False,False,True,False,False,False,False,False,False,False
239,01/02/2026,False,9.998499887483119,4.3364784114609325,99.96999999999994,43.358278909065106,True,True,0,0,0,0,0,0,0,0,0,1,0.6000075005625845,0,7,7,1,9.095238095238097,14.0,False,False,True,False,False,False,False,False,False,False,False,False
239,01/02/2026,False,27.59365869180816,4.7736527812202585,761.41,131.72254555819256,False,False,0,0,0,0,1,0,0,0,1,0,0.0620317065409592,0,20,8,1,19.94736842105263,15.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,39.13463938763202,4.985408200300028,1531.5199999999995,195.10215211888513,False,False,0,0,0,0,0,0,0,0,0,1,0.004326803061839901,0,18,8,1,9.095238095238097,14.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,True,22.177466041006582,4.656014005663128,491.84000000000015,103.25859249704504,False,False,1,0,0,0,0,0,0,0,0,1,0.43911266979496705,0,9,6,1,9.095238095238097,14.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,34.1156855419908,5.136969650725849,1163.88,175.25124124291338,False,False,0,0,0,0,0,0,0,0,1,0,0.029421572290046008,2,0,2,0,19.94736842105263,15.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,29.108418026406042,4.942384887979353,847.3000000000002,143.865005366695,False,False,0,0,0,0,1,0,0,0,1,0,0.05445790986796979,0,9,8,1,19.94736842105263,15.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,35.300141642775316,4.224384672588299,1246.1,149.12137729593599,False,False,0,0,0,0,1,0,0,0,0,1,0.023499291786123422,0,8,9,1,19.94736842105263,15.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,21.362116000059547,4.509521281030438,456.3400000000001,96.33291671010936,True,False,0,0,0,1,1,0,0,0,0,1,0.34318941999970226,0,1,2,0,19.94736842105263,15.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,True,23.86063704095094,4.334473742709004,569.33,103.42330473831171,False,False,1,0,0,0,0,0,0,0,1,0,0.43069681479524524,0,9,7,1,19.94736842105263,15.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,18.38831150486634,4.8324818916053545,338.1299999999998,88.861182364465,False,True,0,0,0,0,0,0,0,0,0,1,0.3080584424756683,0,4,6,1,9.095238095238097,14.0,False,False,False,False,False,False,False,True,False,False,False,False
239,01/02/2026,False,18.314202139323463,4.462722943682696,335.4100000000001,81.73121008240153,True,False,0,1,0,0,1,0,1,0,0,0,0.3584289893033827,0,7,7,1,9.095238095238097,14.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,True,15.31698403733581,4.521391876490378,234.61000000000004,69.25408719874294,True,True,0,0,0,1,1,0,0,0,1,0,0.573415079813321,0,6,7,1,19.94736842105263,15.0,False,False,False,False,False,False,False,False,False,True,False,False
239,01/02/2026,False,11.907980517283354,4.496421868127444,141.79999999999993,53.54330400314843,True,True,0,0,0,0,0,0,0,1,1,0,0.5904600974135832,0,3,7,1,19.94736842105263,15.0,False,False,False,False,False,False,False,True,False,False,False,False
239,01/02/2026,False,43.89453268916301,4.251220867264561,1926.7299999999998,186.60535332699618,False,False,0,0,0,0,0,0,0,0,1,0,0.0,0,16,9,1,19.94736842105263,15.0,False,False,False,False,True,False,False,False,False,False,False,False
239,01/02/2026,False,37.380476187443094,4.684256268598627,1397.3000000000002,175.09972990423202,False,False,0,0,0,0,0,0,0,0,0,1,0.013097619062784527,0,7,6,1,19.94736842105263,15.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,23.299785406737122,4.375358643894479,542.8800000000001,101.94491748025372,True,False,1,1,0,0,1,0,0,0,0,0,0.6835010729663143,0,5,7,1,9.095238095238097,14.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,26.737987957211743,4.609472448207829,714.9200000000002,123.24801880928027,False,False,0,1,0,0,1,1,0,0,0,0,0.06631006021394129,0,3,2,0,9.095238095238097,14.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,19.90226117806718,4.363323798402015,396.1000000000001,86.84000984027305,True,False,0,0,0,0,0,1,0,0,0,1,0.3504886941096641,0,3,2,0,9.095238095238097,14.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,False,21.7635015565051,4.304565179458188,473.65,93.68241098321593,True,False,0,0,0,0,1,1,0,0,0,1,0.3411824922174745,0,1,5,1,9.095238095238097,14.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,False,28.220914230407214,4.237460637579312,796.4200000000004,119.58501320785241,False,False,0,1,0,0,1,0,0,0,0,0,0.05889542884796393,0,17,8,1,9.095238095238097,14.0,False,False,False,False,False,False,True,False,False,False,False,False
239,01/02/2026,False,18.580096878111263,4.354867900087836,345.2199999999999,80.91386747500896,True,False,1,0,0,0,1,0,0,0,1,0,0.7070995156094437,0,7,6,1,19.94736842105263,15.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,False,20.23190549602286,4.25655914370287,409.33000000000004,86.11830233362846,True,False,0,1,0,0,1,0,1,0,0,0,0.3488404725198857,0,2,4,1,9.095238095238097,14.0,False,False,False,False,False,False,False,False,False,False,True,False
239,01/02/2026,False,21.718655575334306,4.359826797658077,471.69999999999993,94.68957658644851,True,False,0,1,0,0,1,0,1,0,0,0,0.34140672212332845,0,1,4,1,9.095238095238097,14.0,False,False,False,False,False,False,False,False,False,False,True,False
238,01/02/2026,False,27.704331791256035,4.754040308342965,767.5299999999999,131.70751005133866,False,False,0,0,0,0,1,0,0,1,0,1,0.06147834104371983,0,4,7,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,False,30.271108337819417,4.983464957184755,916.3400000000003,150.8550076166663,False,False,0,0,0,0,0,0,0,1,1,0,0.048644458310902916,0,3,7,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,True,26.459213896108103,4.382577477208942,700.0900000000001,115.95955488573723,False,False,1,0,0,0,0,0,0,0,1,0,0.4177039305194595,0,0,3,0,,,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,False,22.584286572747878,4.432533185462413,510.0500000000001,100.10559970369815,True,False,0,1,0,0,1,0,1,0,0,0,0.3370785671362606,0,5,5,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,False,16.500303027520435,4.736335737392841,272.26,78.15097490705634,True,True,0,0,0,0,1,0,0,0,1,0,0.5674984848623978,0,6,5,1,9.384615384615383,12.0,False,False,False,False,False,False,False,True,False,False,False,False
238,01/02/2026,False,14.524806367039808,4.624651311794525,210.97000000000014,67.17216481889213,True,True,0,0,0,0,1,0,0,0,1,0,0.577375968164801,0,5,5,1,,,False,False,False,False,False,False,False,True,False,False,False,False
238,01/02/2026,False,30.05278689239985,5.2132575153406275,903.1700000000003,156.67291712373384,False,False,0,0,0,0,0,0,0,0,1,0,0.049736065538000744,0,5,7,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,False,16.40548688701436,4.425857577103416,269.1400000000001,72.60834844496324,True,False,0,0,0,1,1,0,0,0,1,0,0.3679725655649282,0,6,5,1,9.384615384615383,12.0,False,False,False,False,False,False,False,False,False,False,True,False
238,01/02/2026,False,25.946483384073453,4.154380940957942,673.2199999999998,107.79157605567669,False,False,0,1,0,0,1,0,1,0,0,0,0.07026758307963275,0,4,4,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,True,22.983689869122408,4.58683498336192,528.25,105.42239273843163,True,False,1,0,1,0,0,0,0,0,1,0,0.6850815506543879,0,14,9,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,False,20.179197209007096,4.892653927119327,407.19999999999976,98.72982847076393,False,True,0,0,0,0,1,0,0,0,0,1,0.29910401395496455,0,7,7,1,9.384615384615383,12.0,False,False,False,False,False,False,False,True,False,False,False,False
238,01/02/2026,False,21.52951462527662,4.701518434525045,463.5199999999998,101.2214098971146,False,False,0,1,0,0,1,0,0,0,0,0,0.09235242687361692,0,31,9,1,9.384615384615383,12.0,False,False,False,False,False,False,False,False,False,False,True,False
238,01/02/2026,False,28.694424545545434,5.024212749356863,823.3700000000003,144.16689363718788,False,False,0,0,0,0,1,0,1,0,0,1,0.05652787727227282,0,24,11,1,9.384615384615383,12.0,False,False,False,False,False,False,True,False,False,False,False,False
238,01/02/2026,False,30.832612604189087,5.448754100586732,950.6499999999997,167.99932435887746,False,True,0,0,0,0,1,0,0,0,0,1,0.24583693697905457,0,5,8,1,,,False,False,False,False,False,True,False,False,False,False,False,False
238,01/02/2026,False,47.78995710397741,4.580145372979646,2283.8800000000006,218.8849509046779,False,False,0,0,0,0,0,0,0,0,1,0,0.0,0,5,5,1,,,False,False,False,False,True,False,False,False,False,False,False,False
238,01/02/2026,False,21.335650915779436,4.601258962530259,455.20999999999987,98.17085499764706,True,False,0,1,0,0,1,0,0,0,0,0,0.34332174542110283,0,2,4,1,9.384615384615383,12.0,False,False,False,False,False,False,False,False,False,False,True,False
