match_id,match_date,time,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee,home_shots,away_shots,home_shots_target,away_shots_target,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,maxh,maxd,maxa,avgh,avgd,avga,total_goals,goal_diff,implied_prob_h,implied_prob_d,implied_prob_a,home_xg,away_xg,home_gf_avg5,home_ga_avg5,home_shots_avg5,home_sot_avg5,home_xg_for_avg5,home_xg_ag_avg5,home_pts_avg5,away_gf_avg5,away_ga_avg5,away_shots_avg5,away_sot_avg5,away_xg_for_avg5,away_xg_ag_avg5,away_pts_avg5,xg_form_diff,points_form_diff,sot_diff,gf_diff,expected_total_xg,home_strength_rating,away_strength_rating,bookmaker_spread_draw,big_chances_diff,ref_yellow_avg,ref_red_avg,ref_foul_avg
45,20/09/2025,15:00,Wolves,Leeds,1,3,A,1,3,A,A Taylor,16,6,6,4,11,9,4,0,1,1,0,0,2.7,3.2,2.75,2.65,3.2,2.75,2.71,3.25,2.8,2.67,3.16,2.74,4,-2,0.3539111200482606,0.2986125075407199,0.34747637241101953,0.0,0.0,0.6,2.0,7.8,2.4,0.0,0.0,0.4,0.6,0.8,16.4,3.8,0.0,0.0,1.4,0.0,-0.9999999999999999,-1.4,0.0,0.0,0.5380952380952381,0.8555555555555556,-0.04999999999999982,0.0,1.7727272727272727,0.045454545454545456,10.272727272727273
43,20/09/2025,15:00,Burnley,Nott'm Forest,1,1,D,1,1,D,T Bramall,12,17,5,8,12,11,4,5,1,1,0,0,3.4,3.3,2.2,3.25,3.4,2.2,3.5,3.5,2.2,3.36,3.37,2.18,2,0,0.2796610169491525,0.288135593220339,0.43220338983050843,0.0,0.0,1.0,1.6,8.8,3.2,0.0,0.0,0.8,1.2,1.4,9.8,2.8,0.0,0.0,1.4,0.0,-0.5999999999999999,0.40000000000000036,-0.19999999999999996,0.0,0.7941176470588235,0.9333333333333333,1.1999999999999997,0.0,1.4705882352941178,0.0,9.529411764705882
42,20/09/2025,15:00,Brighton,Tottenham,2,2,D,2,1,H,C Kavanagh,12,11,4,3,10,13,2,10,1,2,0,0,2.25,3.7,3.0,2.25,3.6,2.95,2.28,3.75,3.1,2.25,3.61,3.0,4,0,0.4240687679083095,0.25787965616045844,0.3180515759312321,0.0,0.0,1.0,1.4,12.0,3.4,0.0,0.0,1.0,1.6,1.4,13.2,4.2,0.0,0.0,1.2,0.0,-0.19999999999999996,-0.8000000000000003,-0.6000000000000001,0.0,0.8333333333333333,1.1333333333333333,-0.75,0.0,1.619047619047619,0.0,10.857142857142858
41,20/09/2025,12:30,Liverpool,Everton,2,1,H,2,0,H,D England,11,9,3,2,11,10,5,4,2,3,0,0,1.45,4.75,6.5,1.47,4.6,6.25,1.48,4.8,7.5,1.45,4.65,6.7,3,1,0.6543046357615894,0.1997350993377483,0.14596026490066225,0.0,0.0,1.8,1.0,23.0,7.0,0.0,0.0,2.0,0.2,1.0,10.4,1.8,0.0,0.0,0.8,0.0,1.2,5.2,1.6,0.0,1.3545454545454545,0.5545454545454546,-5.05,0.0,1.8333333333333333,0.1111111111111111,11.333333333333334
44,20/09/2025,15:00,West Ham,Crystal Palace,1,2,A,0,1,A,T Harrington,8,18,3,3,15,5,8,8,3,3,0,0,2.88,3.5,2.38,2.9,3.4,2.4,3.1,3.5,2.4,2.98,3.36,2.37,3,-1,0.32971295577967413,0.27130666075584614,0.39898038346447967,0.0,0.0,1.0,2.2,10.6,3.6,0.0,0.0,0.8,0.8,1.6,13.6,4.6,0.0,0.0,0.6,0.0,0.20000000000000007,-0.9999999999999996,0.19999999999999996,0.0,0.717391304347826,0.6941176470588235,0.5,0.0,1.4545454545454546,0.0,10.909090909090908
80,20/10/2025,20:00,West Ham,Brentford,0,2,A,0,1,A,A Madley,7,22,1,7,10,10,6,10,1,1,0,0,2.5,3.25,2.88,2.5,3.3,2.8,2.5,3.55,2.95,2.46,3.37,2.82,2,-2,0.3791776382418473,0.29167510633988253,0.32914725541827017,0.0,0.0,1.0,2.4,10.8,3.6,0.0,0.0,0.6,1.0,2.2,9.4,3.4,0.0,0.0,0.4,0.0,0.19999999999999996,0.20000000000000018,0.0,0.0,0.7,0.717391304347826,-0.3799999999999999,0.0,1.7333333333333334,0.06666666666666667,11.133333333333333
166,20/12/2025,17:30,Tottenham,Liverpool,1,2,A,0,0,D,J Brooks,15,8,4,4,9,7,2,6,3,3,2,0,3.5,3.75,2.0,3.4,3.7,2.05,3.5,3.85,2.1,3.36,3.71,2.02,3,-1,0.27149321266968324,0.25339366515837103,0.4751131221719457,0.0,0.0,1.4,1.8,12.6,3.8,0.0,0.0,0.8,1.8,1.2,21.6,6.8,0.0,0.0,2.0,0.0,-1.2,-3.0,-0.40000000000000013,0.0,0.963157894736842,1.2846153846153845,1.5,0.0,1.7,0.2,8.9
167,20/12/2025,20:00,Everton,Arsenal,0,1,A,0,1,A,S Barrott,5,13,1,2,4,5,2,3,2,2,0,0,5.75,4.1,1.57,5.5,3.8,1.62,6.5,4.1,1.62,6.03,3.89,1.57,1,-1,0.1648842838663405,0.23124015420279465,0.6038755619308649,0.0,0.0,0.4,1.4,8.2,1.8,0.0,0.0,0.6,1.2,0.6,13.2,3.4,0.0,0.0,2.2,0.0,-1.6,-1.5999999999999999,-0.7999999999999999,0.0,0.5333333333333333,1.3142857142857143,4.18,0.0,1.7058823529411764,0.058823529411764705,10.058823529411764
165,20/12/2025,15:00,Wolves,Brentford,0,2,A,0,0,D,M Donohue,9,7,2,6,12,15,3,4,2,4,0,0,3.5,3.6,2.05,3.6,3.5,2.05,3.75,3.6,2.1,3.59,3.48,2.05,2,-2,0.2717731541152642,0.2642238998342847,0.46400294605045117,0.0,0.0,0.6,2.2,10.4,3.2,0.0,0.0,0.4,1.0,1.8,12.4,4.0,0.0,0.0,0.8,0.0,-0.4,-0.7999999999999998,-0.4,0.0,0.517391304347826,0.763157894736842,1.4500000000000002,0.0,2.0,0.0,13.0
168,20/12/2025,20:00,Leeds,Crystal Palace,4,1,H,2,0,H,T Bramall,20,9,8,3,5,10,9,5,1,3,0,0,2.6,3.3,2.75,2.55,3.3,2.75,2.7,3.3,2.88,2.6,3.25,2.76,5,3,0.3658536585365854,0.2882483370288249,0.34589800443458985,0.0,0.0,1.2,0.8,15.6,4.0,0.0,0.0,2.0,1.2,1.8,14.4,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.1555555555555554,0.8631578947368421,-0.1499999999999999,0.0,1.4705882352941178,0.0,9.529411764705882
