player_name,team_name,shots,goals,mean_distance,mean_angle,mean_xg,box_share,central_share,big_chance_share,header_share,penalty_share,first_touch_share,goal_rate,cluster,pc1,pc2
Martin Ødegaard,Arsenal,20,1,21.235689740613346,0.5633320331190579,0.226390313172744,0.45,0.85,0.0,0.0,0.0,0.25,0.05,0,-3.142291810103941,1.096181819384151
Moisés Caicedo,Chelsea,20,3,20.827272218314757,0.3252130459652156,0.3355617184282069,0.25,0.95,0.1,0.0,0.0,0.3,0.15,0,-1.6584953768366122,0.8782554442268703
Jarrod Bowen,West Ham,65,8,19.292919008425883,0.709403734650329,0.3230821908966772,0.7384615384615385,0.676923076923077,0.12307692307692308,0.09230769230769231,0.015384615384615385,0.3384615384615385,0.12307692307692308,1,-1.1835059829263614,-1.662404200668783
Cody Gakpo,Liverpool,64,6,19.588302626766154,0.7268808468702813,0.3361764059757027,0.671875,0.6875,0.140625,0.109375,0.0,0.328125,0.09375,1,-1.3649854557028265,-1.3721928816901117
Bukayo Saka,Arsenal,59,6,20.395554115690018,0.7360124084854378,0.3711358479113366,0.7627118644067796,0.6101694915254238,0.2033898305084746,0.0847457627118644,0.01694915254237288,0.23728813559322035,0.1016949152542373,1,-1.2684685133271199,-2.3296532137928954
Mohamed Salah,Liverpool,54,5,18.231460385222096,0.7372723713890988,0.3245445043311541,0.8333333333333334,0.7222222222222222,0.2222222222222222,0.037037037037037035,0.018518518518518517,0.4444444444444444,0.09259259259259259,1,-0.5381206359374787,-1.35354008028875
Antoine Semenyo,Bournemouth,49,10,19.50291101999069,0.6837661324253722,0.33900522028526636,0.7551020408163265,0.673469387755102,0.20408163265306123,0.04081632653061224,0.04081632653061224,0.3877551020408163,0.20408163265306123,1,-0.48902400988141775,-2.2448444302246657
Harvey Barnes,Newcastle,49,5,18.824706143190678,0.6302865686545046,0.4006307936372837,0.6530612244897959,0.7346938775510204,0.22448979591836735,0.061224489795918366,0.0,0.5102040816326531,0.10204081632653061,1,-0.32857848353991786,-0.8886742678415454
Leandro Trossard,Arsenal,44,5,17.879658868850715,0.7844452724844633,0.35243868748608587,0.75,0.7272727272727273,0.20454545454545456,0.045454545454545456,0.0,0.4772727272727273,0.11363636363636363,1,-0.5430825128205131,-1.0528602362033108
Crysencio Summerville,West Ham,43,5,18.814051031744878,0.6676933033734825,0.3784408154603185,0.7674418604651163,0.7209302325581395,0.18604651162790697,0.023255813953488372,0.0,0.20930232558139536,0.11627906976744186,1,-1.0108225467557614,-1.5101424590068908
Anthony Gordon,Newcastle,41,4,18.20590032398238,0.610714029755624,0.40150418597816107,0.6829268292682927,0.8292682926829268,0.2926829268292683,0.0975609756097561,0.07317073170731707,0.3902439024390244,0.0975609756097561,1,0.4071718687627041,-1.6426748958288817
Cole Palmer,Chelsea,41,9,18.67897029193464,0.49276977096466706,0.39632326516448857,0.6341463414634146,0.8536585365853658,0.2926829268292683,0.0,0.12195121951219512,0.3170731707317073,0.21951219512195122,1,0.7591633559524141,-2.8766815182402414
